trace,determinant,max eigenvalue,iterations,min eigenvalue,iterations
-1.7292023647638834,0.148589882411,-1.6385164465,5,-11.0271077689,6
0.6471908896687255,-0.783860486251,1.26624708533,18,-1.61539977278,16
-0.4739636798267606,-1.64703472125,-1.54203090386,23,0.936240611804,41
-0.09367253560308608,-2.22834727176,does not converge,,does not converge,
-1.6513963164336638,2.59484010165,does not converge,,does not converge,
-1.5718835796543384,0.769771506053,does not converge,,does not converge,
-2.8554435724009064,3.60076760339,does not converge,,does not converge,
0.15894934741881794,-0.774723922292,0.963260697883,54,-1.24331106854,73
3.050817249382832,2.63145945125,does not converge,,does not converge,
1.255565339255818,0.5186295026,does not converge,,does not converge,
2.683270979024757,1.03410194087,2.21678770513,7,2.14368989809,9
-2.1090467005391376,0.318420191488,-1.94536656274,6,-6.10942903881,6
0.9995080278000779,2.16709243709,does not converge,,does not converge,
0.22411719989160206,-1.4968627795,1.34062098574,68,-0.895656668686,57
0.20501736017714567,-3.55165093786,1.98985446249,97,does not converge,
-0.5588638023240122,-1.99114462081,-1.71789855751,37,0.86275996185,23
-0.4757283537200969,0.635180262292,does not converge,,does not converge,
-0.6477362974661265,-2.74935201165,-2.0133030952,39,0.732302361355,22
0.38449426055746416,-0.460312986581,0.89740554339,20,-1.94957522489,22
0.27668046885980146,-3.74803584545,2.07924017997,80,-0.554737233932,80
1.4184288025903729,-0.69618315181,1.80428380701,9,-2.59166700229,8
1.8822282244480983,1.6447435537,does not converge,,does not converge,
0.9208789550120344,-2.76223829524,2.18502506095,22,-0.791028258136,22
-3.293830293138391,2.70892401866,-1.70594674798,70,-0.630157339228,62
2.6113410790531435,-0.438480246052,2.76965743945,5,-6.31649098384,6
-2.632229900702804,2.95420552656,does not converge,,does not converge,
-1.6866449583885705,-0.377825071389,-1.88688392483,5,4.99406223161,8
2.514535188426203,1.17673636154,1.89288816737,12,1.6085860431,8
-0.9477602252755193,-2.16836700257,-2.02077299905,21,0.931931387655,17
3.2685332187072302,2.46355756368,2.08959875233,15,0.848237381495,17
-2.108175408491955,0.277233117163,-1.96725223614,4,-7.09602174661,7
0.18444259022516185,-0.184054150128,0.531052323543,25,-2.88520248273,30
-0.714323346659544,-0.201212322693,-0.930558651024,12,4.62473206674,6
0.19100856636669983,-1.46970872227,1.31159579139,86,-0.892426248418,60
-2.1967318626506644,0.586002273081,-1.88602906283,6,-3.21846805701,8
0.8555601886696977,-4.03693519601,2.48201376755,35,-0.614813170261,21
-1.6283240427697936,2.27948010654,does not converge,,does not converge,
-2.241343546322405,-1.15799254495,-2.67434228746,9,2.30947201071,6
-0.9374064879229969,-1.92814933827,-1.93423945047,23,1.00314901477,13
2.9537624069642323,3.81537880993,does not converge,,does not converge,
0.2394621341358838,-0.645774773943,0.932221773518,34,-1.44356054093,44
-2.045841604926957,-1.53190025202,-2.62861648871,11,1.71591635671,7
3.699919795055319,0.562272841396,3.54113676608,4,6.29789759907,7
-0.8076169578307009,-1.55929539426,-1.7161835564,12,1.1006086356,26
1.0180076101965785,-2.2965391111,2.10764498298,16,-0.917732282806,21
1.9449908593008112,1.14403916449,does not converge,,does not converge,
-1.75223916470532,-2.53155251633,-2.69248173666,13,1.0635718678,11
-2.5253954250755424,0.624163937137,-2.24770227263,7,-3.60114453954,6
0.9419083306972378,0.123186650994,0.784972934612,6,6.37226392475,10
2.58295166383841,3.9635615848,does not converge,,does not converge,
0.17515507179050704,-2.04700815441,does not converge,,-0.743052973596,80
0.31380013078227,-5.9039094241,does not converge,,-0.438967045597,67
0.9755815726450598,-0.255661937971,1.19036620483,6,-4.65598020473,9
-0.28010753052682213,-4.4033654991,does not converge,,0.509394248245,69
-1.699992678879204,2.03057136359,does not converge,,does not converge,
0.830767513051669,-1.3072824736,1.63185067479,19,-1.2482778356,15
1.7941704134944843,3.56616230671,does not converge,,does not converge,
-0.30163484766107773,-2.00839551376,-1.57597870111,66,0.784683243141,42
1.5398440587083724,-0.0567549688265,1.57586041056,4,-27.7660148253,5
-1.2320278028738287,1.17506101393,does not converge,,does not converge,
-1.3740725184602476,-1.25590000354,-2.00155129478,9,1.59371316533,13
-1.6638160908260904,0.55894426284,-1.19678772416,11,-2.14115848197,12
-0.3607932669481291,-0.296082085012,-0.753645869044,20,2.54544223779,17
0.14889674701123212,-1.65351773195,does not converge,,-0.824019552233,73
0.13310098030914252,-0.409839394031,0.710165112211,55,-1.73282080346,55
-0.6693227112002851,-0.10131210761,-0.796514463782,6,7.86201295206,9
2.744796271403253,1.77711438115,1.69858073114,14,0.955857921867,23
0.91795798953784,-0.964350039879,1.54295213593,15,-1.59999072577,13
-0.8839413198080552,-2.61061848478,-2.11708514978,26,0.810958635517,18
2.6304121262884523,0.905970049285,2.22284983158,6,2.45354831885,9
0.503595004052948,-1.27615375474,1.40920467638,29,-1.10422914759,24
0.8472650637875878,0.386804168964,does not converge,,does not converge,
-0.7419996413194969,0.247537947931,does not converge,,does not converge,
3.596277438952038,3.28838382431,does not converge,,does not converge,
0.3629636457290668,3.29861649866,does not converge,,does not converge,
-1.750369956834879,-1.11953718979,-2.24832096816,11,2.008245609,6
1.1621119255977228,0.413698021144,does not converge,,does not converge,
0.48817797248453676,-1.6320860332,1.54471404046,39,-0.946459478996,23
